DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2014-01-02                16:47:24.226              1.36625262                32.790063                 2.36625262                1388681244.226            0                         963                       2.0000000000E+000         3.0000000000E+000         1.9749174980E+000         2.0212271858E+000         4.2070606636E+002         4.3268604547E+002         1.7910633064E+000         2.1980380636E+000         
2014-01-02                16:47:25.131              1.36626310                32.790314                 2.36626310                1388681245.132            0                         963                       1.0000000000E+000         3.0000000000E+000         1.9749174980E+000         2.0212271858E+000         4.2071323280E+002         4.3268604547E+002         1.7910633064E+000         2.1980380636E+000         
2014-01-02                16:47:25.641              1.36626900                32.790456                 2.36626900                1388681245.642            0                         963                       3.0000000000E+000         3.0000000000E+000         1.9749174980E+000         2.0209069709E+000         4.2071323280E+002         4.3269352815E+002         1.7935826894E+000         2.2009752634E+000         
2014-01-02                16:47:27.088              1.36628574                32.790858                 2.36628574                1388681247.088            0                         963                       2.0000000000E+000         3.0000000000E+000         1.9748522967E+000         2.0209069709E+000         4.2071323280E+002         4.3269352815E+002         1.7935826894E+000         2.2009752634E+000         
2014-01-02                16:47:28.006              1.36629637                32.791113                 2.36629637                1388681248.006            0                         963                       1.0000000000E+000         3.0000000000E+000         1.9748522967E+000         2.0209069709E+000         4.2071807049E+002         4.3269352815E+002         1.7935826894E+000         2.2009752634E+000         
2014-01-02                16:47:28.522              1.36630234                32.791256                 2.36630234                1388681248.522            0                         963                       3.0000000000E+000         3.0000000000E+000         1.9748522967E+000         2.0208776509E+000         4.2071807049E+002         4.3270825741E+002         1.7939167660E+000         2.2013647141E+000         
2014-01-02                16:47:29.951              1.36631889                32.791653                 2.36631889                1388681249.952            0                         963                       2.0000000000E+000         3.0000000000E+000         1.9751233659E+000         2.0208776509E+000         4.2071807049E+002         4.3270825741E+002         1.7939167660E+000         2.2013647141E+000         
2014-01-02                16:47:30.872              1.36632955                32.791909                 2.36632955                1388681250.873            0                         963                       1.0000000000E+000         3.0000000000E+000         1.9751233659E+000         2.0208776509E+000         4.2072490997E+002         4.3270825741E+002         1.7939167660E+000         2.2013647141E+000         
2014-01-02                16:47:31.381              1.36633544                32.792051                 2.36633544                1388681251.382            0                         963                       3.0000000000E+000         3.0000000000E+000         1.9751233659E+000         2.0211616057E+000         4.2072490997E+002         4.3271700458E+002         1.7940837531E+000         2.2015593772E+000         
2014-01-02                16:47:32.819              1.36635208                32.792450                 2.36635208                1388681252.820            0                         963                       2.0000000000E+000         3.0000000000E+000         1.9755201989E+000         2.0211616057E+000         4.2072490997E+002         4.3271700458E+002         1.7940837531E+000         2.2015593772E+000         
2014-01-02                16:47:33.727              1.36636259                32.792702                 2.36636259                1388681253.728            0                         963                       1.0000000000E+000         3.0000000000E+000         1.9755201989E+000         2.0211616057E+000         4.2075070157E+002         4.3271700458E+002         1.7940837531E+000         2.2015593772E+000         
2014-01-02                16:47:35.573              1.36638396                32.793215                 2.36638396                1388681255.574            0                         963                       3.0000000000E+000         3.0000000000E+000         1.9755201989E+000         2.0215841808E+000         4.2075070157E+002         4.3274783142E+002         1.7951746597E+000         2.2028310453E+000         
