DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2014-02-12                20:19:46.022              42.51372711               1020.329451               43.51372711               1392236386.022            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0052888322E+000         2.5260537736E+000         4.9418879560E+002         5.1012662291E+002         2.0198334630E+000         2.4631678892E+000         
2014-02-12                20:19:46.536              42.51373307               1020.329594               43.51373307               1392236386.537            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0052888322E+000         2.0580055997E+000         4.9418879560E+002         5.1007795124E+002         2.0159310653E+000         2.4586717358E+000         
2014-02-12                20:19:47.971              42.51374968               1020.329992               43.51374968               1392236387.972            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8818848723E+000         2.0580055997E+000         4.9418879560E+002         5.1007795124E+002         2.0159310653E+000         2.4586717358E+000         
2014-02-12                20:19:48.901              42.51376043               1020.330250               43.51376043               1392236388.901            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8818848723E+000         2.0580055997E+000         4.9362617680E+002         5.1007795124E+002         2.0159310653E+000         2.4586717358E+000         
2014-02-12                20:19:49.411              42.51376634               1020.330392               43.51376634               1392236389.412            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8818848723E+000         1.9314491727E+000         4.9362617680E+002         5.0952669509E+002         2.0271353685E+000         2.4715783525E+000         
2014-02-12                20:19:50.867              42.51378318               1020.330796               43.51378318               1392236390.867            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8794508658E+000         1.9314491727E+000         4.9362617680E+002         5.0952669509E+002         2.0271353685E+000         2.4715783525E+000         
2014-02-12                20:19:51.816              42.51379418               1020.331060               43.51379418               1392236391.817            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8794508658E+000         1.9314491727E+000         4.9347770785E+002         5.0952669509E+002         2.0271353685E+000         2.4715783525E+000         
2014-02-12                20:19:52.338              42.51380021               1020.331205               43.51380021               1392236392.338            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8794508658E+000         1.9289828481E+000         4.9347770785E+002         5.0938366534E+002         2.0184647261E+000         2.4615910002E+000         
2014-02-12                20:19:53.783              42.51381694               1020.331607               43.51381694               1392236393.784            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8800975446E+000         1.9289828481E+000         4.9347770785E+002         5.0938366534E+002         2.0184647261E+000         2.4615910002E+000         
2014-02-12                20:19:54.726              42.51382786               1020.331869               43.51382786               1392236394.727            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8800975446E+000         1.9289828481E+000         4.9318807669E+002         5.0938366534E+002         2.0184647261E+000         2.4615910002E+000         
2014-02-12                20:19:55.246              42.51383388               1020.332013               43.51383388               1392236395.247            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8800975446E+000         1.9296269941E+000         4.9318807669E+002         5.0907840981E+002         2.0255749060E+000         2.4697812512E+000         
2014-02-12                20:19:56.706              42.51385076               1020.332418               43.51385076               1392236396.706            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8792438447E+000         1.9296269941E+000         4.9318807669E+002         5.0907840981E+002         2.0255749060E+000         2.4697812512E+000         
2014-02-12                20:19:57.624              42.51386139               1020.332673               43.51386139               1392236397.624            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8792438447E+000         1.9296269941E+000         4.9327786048E+002         5.0907840981E+002         2.0255749060E+000         2.4697812512E+000         
2014-02-12                20:19:58.130              42.51386725               1020.332814               43.51386725               1392236398.130            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8792438447E+000         1.9286785409E+000         4.9327786048E+002         5.0914785645E+002         2.0127041002E+000         2.4549530971E+000         
2014-02-12                20:19:59.588              42.51388412               1020.333219               43.51388412               1392236399.588            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8795422985E+000         1.9286785409E+000         4.9327786048E+002         5.0914785645E+002         2.0127041002E+000         2.4549530971E+000         
2014-02-12                20:20:00.516              42.51389486               1020.333477               43.51389486               1392236400.516            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8795422985E+000         1.9286785409E+000         4.9326673194E+002         5.0914785645E+002         2.0127041002E+000         2.4549530971E+000         
2014-02-12                20:20:01.025              42.51390075               1020.333618               43.51390075               1392236401.025            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8795422985E+000         1.9289989253E+000         4.9326673194E+002         5.0914089511E+002         2.0266978244E+000         2.4710744709E+000         
2014-02-12                20:20:02.461              42.51391738               1020.334017               43.51391738               1392236402.462            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8791251441E+000         1.9289989253E+000         4.9326673194E+002         5.0914089511E+002         2.0266978244E+000         2.4710744709E+000         
2014-02-12                20:20:03.384              42.51392807               1020.334274               43.51392807               1392236403.385            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8791251441E+000         1.9289989253E+000         4.9330627010E+002         5.0914089511E+002         2.0266978244E+000         2.4710744709E+000         
2014-02-12                20:20:03.900              42.51393403               1020.334417               43.51393403               1392236403.900            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8791251441E+000         1.9286474959E+000         4.9330627010E+002         5.0920636537E+002         2.0188186720E+000         2.4619987835E+000         
2014-02-12                20:20:05.345              42.51395076               1020.334818               43.51395076               1392236405.346            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8793074830E+000         1.9286474959E+000         4.9330627010E+002         5.0920636537E+002         2.0188186720E+000         2.4619987835E+000         
2014-02-12                20:20:06.286              42.51396166               1020.335080               43.51396166               1392236406.287            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8793074830E+000         1.9286474959E+000         4.9318190879E+002         5.0920636537E+002         2.0188186720E+000         2.4619987835E+000         
2014-02-12                20:20:06.802              42.51396763               1020.335223               43.51396763               1392236406.803            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8793074830E+000         1.9287443468E+000         4.9318190879E+002         5.0904897636E+002         2.0194975474E+000         2.4627808991E+000         
2014-02-12                20:20:08.246              42.51398434               1020.335624               43.51398434               1392236408.247            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8785546147E+000         1.9287443468E+000         4.9318190879E+002         5.0904897636E+002         2.0194975474E+000         2.4627808991E+000         
2014-02-12                20:20:09.177              42.51399510               1020.335883               43.51399510               1392236409.177            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8785546147E+000         1.9287443468E+000         4.9329089103E+002         5.0904897636E+002         2.0194975474E+000         2.4627808991E+000         
2014-02-12                20:20:09.686              42.51400100               1020.336024               43.51400100               1392236409.686            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8785546147E+000         1.9279741199E+000         4.9329089103E+002         5.0916225157E+002         2.0190138097E+000         2.4622235997E+000         
2014-02-12                20:20:11.115              42.51401753               1020.336421               43.51401753               1392236411.115            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8782799663E+000         1.9279741199E+000         4.9329089103E+002         5.0916225157E+002         2.0190138097E+000         2.4622235997E+000         
2014-02-12                20:20:12.026              42.51402809               1020.336674               43.51402809               1392236412.027            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8782799663E+000         1.9279741199E+000         4.9292659263E+002         5.0916225157E+002         2.0190138097E+000         2.4622235997E+000         
2014-02-12                20:20:12.546              42.51403410               1020.336818               43.51403410               1392236412.546            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8782799663E+000         1.9276639499E+000         4.9292659263E+002         5.0877713769E+002         2.0172400351E+000         2.4601799686E+000         
2014-02-12                20:20:13.996              42.51405089               1020.337221               43.51405089               1392236413.997            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8785555636E+000         1.9276639499E+000         4.9292659263E+002         5.0877713769E+002         2.0172400351E+000         2.4601799686E+000         
2014-02-12                20:20:14.934              42.51406174               1020.337482               43.51406174               1392236414.934            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8785555636E+000         1.9276639499E+000         4.9315207263E+002         5.0877713769E+002         2.0172400351E+000         2.4601799686E+000         
2014-02-12                20:20:15.450              42.51406771               1020.337625               43.51406771               1392236415.450            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8785555636E+000         1.9280704183E+000         4.9315207263E+002         5.0904961347E+002         2.0288767135E+000         2.4735835954E+000         
2014-02-12                20:20:16.881              42.51408428               1020.338023               43.51408428               1392236416.882            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8782695562E+000         1.9280704183E+000         4.9315207263E+002         5.0904961347E+002         2.0288767135E+000         2.4735835954E+000         
2014-02-12                20:20:17.808              42.51409500               1020.338280               43.51409500               1392236417.808            0                         963                       1.0000000000E+000         0.0000000000E+000         1.8782695562E+000         1.9280704183E+000         4.9269091209E+002         5.0904961347E+002         2.0288767135E+000         2.4735835954E+000         
2014-02-12                20:20:18.328              42.51410102               1020.338424               43.51410102               1392236418.328            0                         963                       3.0000000000E+000         0.0000000000E+000         1.8782695562E+000         1.9278396896E+000         4.9269091209E+002         5.0859376663E+002         2.0222498964E+000         2.4659515314E+000         
2014-02-12                20:20:19.746              42.51411743               1020.338818               43.51411743               1392236419.746            0                         963                       2.0000000000E+000         0.0000000000E+000         1.8781606080E+000         1.9278396896E+000         4.9269091209E+002         5.0859376663E+002         2.0222498964E+000         2.4659515314E+000         
