DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2013-12-11                19:56:53.345              344.49783965              8267.948152               345.49783965              1386791813.346            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0408050943E+000         2.0889143917E+000         4.4952080217E+002         4.6247592756E+002         1.8101109537E+000         2.2202348748E+000         
2013-12-11                19:56:54.266              344.49785030              8267.948407               345.49785030              1386791814.266            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0408050943E+000         2.0889143917E+000         4.4957845570E+002         4.6247592756E+002         1.8101109537E+000         2.2202348748E+000         
2013-12-11                19:56:54.770              344.49785615              8267.948547               345.49785615              1386791814.771            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0408050943E+000         2.0888476534E+000         4.4957845570E+002         4.6252062918E+002         1.8128295880E+000         2.2234011589E+000         
2013-12-11                19:56:56.200              344.49787270              8267.948945               345.49787270              1386791816.201            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0413456338E+000         2.0888476534E+000         4.4957845570E+002         4.6252062918E+002         1.8128295880E+000         2.2234011589E+000         
2013-12-11                19:56:57.109              344.49788322              8267.949197               345.49788322              1386791817.110            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0413456338E+000         2.0888476534E+000         4.4940923516E+002         4.6252062918E+002         1.8128295880E+000         2.2234011589E+000         
2013-12-11                19:56:57.615              344.49788907              8267.949338               345.49788907              1386791817.616            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0413456338E+000         2.0895061781E+000         4.4940923516E+002         4.6237490700E+002         1.8178769739E+000         2.2292784399E+000         
2013-12-11                19:56:59.052              344.49790569              8267.949737               345.49790569              1386791819.052            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0411651831E+000         2.0895061781E+000         4.4940923516E+002         4.6237490700E+002         1.8178769739E+000         2.2292784399E+000         
2013-12-11                19:56:59.967              344.49791630              8267.949991               345.49791630              1386791819.968            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0411651831E+000         2.0895061781E+000         4.4941312718E+002         4.6237490700E+002         1.8178769739E+000         2.2292784399E+000         
2013-12-11                19:57:00.479              344.49792221              8267.950133               345.49792221              1386791820.479            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0411651831E+000         2.0893384922E+000         4.4941312718E+002         4.6238349957E+002         1.8140853226E+000         2.2248635089E+000         
2013-12-11                19:57:01.914              344.49793882              8267.950532               345.49793882              1386791821.914            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0406526517E+000         2.0893384922E+000         4.4941312718E+002         4.6238349957E+002         1.8140853226E+000         2.2248635089E+000         
2013-12-11                19:57:02.826              344.49794939              8267.950785               345.49794939              1386791822.827            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0406526517E+000         2.0893384922E+000         4.4949115747E+002         4.6238349957E+002         1.8140853226E+000         2.2248635089E+000         
2013-12-11                19:57:03.339              344.49795532              8267.950928               345.49795532              1386791823.340            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0406526517E+000         2.0887603412E+000         4.4949115747E+002         4.6244934866E+002         1.8139268034E+000         2.2246789127E+000         
